-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 12/31/2011 through 01/01/2021 
Location: Latitude  1.7523   Longitude 127.9942 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 37.91 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
SZA                   CERES SYN1deg Solar Zenith Angle (Degrees) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,SZA
2011,12,31,9,366.96,611.38,50.91
2011,12,31,10,518.4,783.83,38.9
2011,12,31,11,515.52,895.42,29.27
2011,12,31,12,388.09,936.9,24.99
2011,12,31,13,314.9,904.58,28.61
2011,12,31,14,204.95,800.2,37.91
2011,12,31,15,129.09,632.6,49.79
2011,12,31,16,66.66,417.9,62.77
2011,12,31,17,24.99,181.8,76.25
2011,12,31,18,5.01,12.33,88.25
2011,12,31,19,0.0,0.0,-999.0
2011,12,31,20,0.0,0.0,-999.0
2011,12,31,21,0.0,0.0,-999.0
2011,12,31,22,0.0,0.0,-999.0
2011,12,31,23,0.0,0.0,-999.0
2012,1,1,0,0.0,0.0,-999.0
2012,1,1,1,0.0,0.0,-999.0
2012,1,1,2,0.0,0.0,-999.0
2012,1,1,3,0.0,0.0,-999.0
2012,1,1,4,0.0,0.0,-999.0
2012,1,1,5,0.0,0.0,-999.0
2012,1,1,6,6.75,7.33,88.86
2012,1,1,7,60.55,153.38,77.57
2012,1,1,8,140.72,387.98,64.05
2012,1,1,9,328.36,623.08,50.99
2012,1,1,10,473.39,796.38,38.95
2012,1,1,11,553.72,908.6,29.27
2012,1,1,12,629.01,942.25,24.92
2012,1,1,13,564.5,910.92,28.49
2012,1,1,14,402.01,808.3,37.77
2012,1,1,15,323.5,642.08,49.66
2012,1,1,16,147.79,427.75,62.64
2012,1,1,17,73.23,190.55,76.13
2012,1,1,18,9.11,13.52,88.2
2012,1,1,19,0.0,0.0,-999.0
2012,1,1,20,0.0,0.0,-999.0
2012,1,1,21,0.0,0.0,-999.0
2012,1,1,22,0.0,0.0,-999.0
2012,1,1,23,0.0,0.0,-999.0
2012,1,2,0,0.0,0.0,-999.0
2012,1,2,1,0.0,0.0,-999.0
2012,1,2,2,0.0,0.0,-999.0
2012,1,2,3,0.0,0.0,-999.0
2012,1,2,4,0.0,0.0,-999.0
2012,1,2,5,0.0,0.0,-999.0
2012,1,2,6,6.93,7.5,88.9
2012,1,2,7,82.94,162.58,77.66
2012,1,2,8,251.8,400.65,64.13
2012,1,2,9,412.12,620.15,51.06
2012,1,2,10,519.23,794.8,38.99
2012,1,2,11,614.34,907.62,29.27
2012,1,2,12,512.3,949.17,24.85
2012,1,2,13,352.75,916.1,28.37
2012,1,2,14,276.89,810.3,37.64
2012,1,2,15,257.89,643.0,49.52
2012,1,2,16,186.05,425.9,62.52
2012,1,2,17,46.38,190.52,76.02
2012,1,2,18,6.62,13.85,88.14
2012,1,2,19,0.0,0.0,-999.0
2012,1,2,20,0.0,0.0,-999.0
2012,1,2,21,0.0,0.0,-999.0
2012,1,2,22,0.0,0.0,-999.0
2012,1,2,23,0.0,0.0,-999.0
2012,1,3,0,0.0,0.0,-999.0
2012,1,3,1,0.0,0.0,-999.0
2012,1,3,2,0.0,0.0,-999.0
2012,1,3,3,0.0,0.0,-999.0
2012,1,3,4,0.0,0.0,-999.0
2012,1,3,5,0.0,0.0,-999.0
2012,1,3,6,8.38,7.02,88.95
2012,1,3,7,127.52,155.65,77.76
2012,1,3,8,386.98,393.1,64.22
2012,1,3,9,581.01,613.12,51.12
2012,1,3,10,704.72,788.52,39.02
2012,1,3,11,718.78,901.42,29.25
2012,1,3,12,761.61,938.55,24.77
2012,1,3,13,830.41,904.52,28.23
2012,1,3,14,599.78,797.55,37.5
2012,1,3,15,464.37,629.08,49.39
2012,1,3,16,295.3,413.65,62.39
2012,1,3,17,109.34,178.17,75.9
2012,1,3,18,14.2,13.2,88.08
2012,1,3,19,0.0,0.0,-999.0
2012,1,3,20,0.0,0.0,-999.0
2012,1,3,21,0.0,0.0,-999.0
2012,1,3,22,0.0,0.0,-999.0
2012,1,3,23,0.0,0.0,-999.0
2012,1,4,0,0.0,0.0,-999.0
2012,1,4,1,0.0,0.0,-999.0
2012,1,4,2,0.0,0.0,-999.0
2012,1,4,3,0.0,0.0,-999.0
2012,1,4,4,0.0,0.0,-999.0
2012,1,4,5,0.0,0.0,-999.0
2012,1,4,6,8.2,6.23,88.98
2012,1,4,7,112.67,138.3,77.85
2012,1,4,8,324.09,368.48,64.3
2012,1,4,9,485.18,588.8,51.19
2012,1,4,10,593.45,765.12,39.06
2012,1,4,11,728.2,887.7,29.23
2012,1,4,12,707.79,938.5,24.68
2012,1,4,13,754.35,906.65,28.1
2012,1,4,14,678.28,802.42,37.36
2012,1,4,15,437.36,634.83,49.26
2012,1,4,16,273.9,419.52,62.27
2012,1,4,17,113.09,183.2,75.77
2012,1,4,18,13.02,13.7,88.02
2012,1,4,19,0.0,0.0,-999.0
2012,1,4,20,0.0,0.0,-999.0
2012,1,4,21,0.0,0.0,-999.0
2012,1,4,22,0.0,0.0,-999.0
2012,1,4,23,0.0,0.0,-999.0
2012,1,5,0,0.0,0.0,-999.0
2012,1,5,1,0.0,0.0,-999.0
2012,1,5,2,0.0,0.0,-999.0
2012,1,5,3,0.0,0.0,-999.0
2012,1,5,4,0.0,0.0,-999.0
2012,1,5,5,0.0,0.0,-999.0
2012,1,5,6,7.12,6.1,89.02
2012,1,5,7,85.86,146.45,77.95
2012,1,5,8,254.55,382.83,64.38
2012,1,5,9,438.56,604.0,51.24
2012,1,5,10,623.44,779.92,39.09
2012,1,5,11,686.74,895.1,29.21
2012,1,5,12,747.72,935.9,24.58
2012,1,5,13,604.36,906.3,27.96
2012,1,5,14,335.15,802.8,37.22
2012,1,5,15,232.2,636.27,49.12
2012,1,5,16,126.57,422.88,62.14
2012,1,5,17,81.05,187.67,75.66
2012,1,5,18,13.25,14.55,87.96
2012,1,5,19,0.0,0.0,-999.0
2012,1,5,20,0.0,0.0,-999.0
2012,1,5,21,0.0,0.0,-999.0
2012,1,5,22,0.0,0.0,-999.0
2012,1,5,23,0.0,0.0,-999.0
2012,1,6,0,0.0,0.0,-999.0
2012,1,6,1,0.0,0.0,-999.0
2012,1,6,2,0.0,0.0,-999.0
2012,1,6,3,0.0,0.0,-999.0
2012,1,6,4,0.0,0.0,-999.0
2012,1,6,5,0.0,0.0,-999.0
2012,1,6,6,8.62,6.3,89.05
2012,1,6,7,115.59,154.9,78.04
2012,1,6,8,312.62,393.17,64.45
2012,1,6,9,500.73,613.2,51.3
2012,1,6,10,617.16,788.2,39.11
2012,1,6,11,734.47,902.2,29.18
2012,1,6,12,586.37,936.95,24.48
2012,1,6,13,478.9,907.27,27.81
2012,1,6,14,356.14,804.85,37.07
2012,1,6,15,294.8,639.25,48.98
2012,1,6,16,170.4,426.02,62.01
2012,1,6,17,56.92,188.67,75.54
2012,1,6,18,10.38,14.98,87.9
2012,1,6,19,0.0,0.0,-999.0
2012,1,6,20,0.0,0.0,-999.0
2012,1,6,21,0.0,0.0,-999.0
2012,1,6,22,0.0,0.0,-999.0
2012,1,6,23,0.0,0.0,-999.0
2012,1,7,0,0.0,0.0,-999.0
2012,1,7,1,0.0,0.0,-999.0
2012,1,7,2,0.0,0.0,-999.0
2012,1,7,3,0.0,0.0,-999.0
2012,1,7,4,0.0,0.0,-999.0
2012,1,7,5,0.0,0.0,-999.0
2012,1,7,6,3.41,5.88,89.09
2012,1,7,7,27.21,150.52,78.12
2012,1,7,8,61.44,388.58,64.52
2012,1,7,9,118.62,610.73,51.35
2012,1,7,10,222.14,787.4,39.13
2012,1,7,11,351.52,902.9,29.14
2012,1,7,12,352.78,946.95,24.37
2012,1,7,13,366.8,916.1,27.66
2012,1,7,14,363.87,812.85,36.91
2012,1,7,15,312.66,646.9,48.84
2012,1,7,16,225.32,432.67,61.88
2012,1,7,17,97.34,195.5,75.42
2012,1,7,18,12.38,15.88,87.84
2012,1,7,19,0.0,0.0,-999.0
2012,1,7,20,0.0,0.0,-999.0
2012,1,7,21,0.0,0.0,-999.0
2012,1,7,22,0.0,0.0,-999.0
2012,1,7,23,0.0,0.0,-999.0
2012,1,8,0,0.0,0.0,-999.0
2012,1,8,1,0.0,0.0,-999.0
2012,1,8,2,0.0,0.0,-999.0
2012,1,8,3,0.0,0.0,-999.0
2012,1,8,4,0.0,0.0,-999.0
2012,1,8,5,0.0,0.0,-999.0
2012,1,8,6,6.13,5.58,89.12
2012,1,8,7,50.84,146.12,78.21
2012,1,8,8,178.8,383.8,64.59
2012,1,8,9,258.87,605.77,51.4
2012,1,8,10,318.36,788.6,39.14
2012,1,8,11,468.0,905.75,29.1
2012,1,8,12,535.38,939.27,24.25
2012,1,8,13,481.17,910.33,27.5
2012,1,8,14,405.17,808.62,36.76
2012,1,8,15,390.29,643.45,48.7
2012,1,8,16,248.84,429.23,61.75
2012,1,8,17,76.66,192.67,75.31
2012,1,8,18,12.14,16.1,87.78
2012,1,8,19,0.0,0.0,-999.0
2012,1,8,20,0.0,0.0,-999.0
2012,1,8,21,0.0,0.0,-999.0
2012,1,8,22,0.0,0.0,-999.0
2012,1,8,23,0.0,0.0,-999.0
2012,1,9,0,0.0,0.0,-999.0
2012,1,9,1,0.0,0.0,-999.0
2012,1,9,2,0.0,0.0,-999.0
2012,1,9,3,0.0,0.0,-999.0
2012,1,9,4,0.0,0.0,-999.0
2012,1,9,5,0.0,0.0,-999.0
2012,1,9,6,6.55,5.4,89.16
2012,1,9,7,113.1,142.02,78.29
2012,1,9,8,333.59,374.48,64.66
2012,1,9,9,492.34,589.58,51.45
2012,1,9,10,702.98,770.45,39.15
2012,1,9,11,802.16,889.15,29.05
2012,1,9,12,747.75,948.0,24.12
2012,1,9,13,669.94,918.3,27.34
2012,1,9,14,720.12,816.42,36.6
2012,1,9,15,466.32,653.08,48.55
2012,1,9,16,291.96,439.0,61.62
2012,1,9,17,122.73,200.33,75.2
2012,1,9,18,15.55,17.1,87.72
2012,1,9,19,0.0,0.0,-999.0
2012,1,9,20,0.0,0.0,-999.0
2012,1,9,21,0.0,0.0,-999.0
2012,1,9,22,0.0,0.0,-999.0
2012,1,9,23,0.0,0.0,-999.0
2012,1,10,0,0.0,0.0,-999.0
2012,1,10,1,0.0,0.0,-999.0
2012,1,10,2,0.0,0.0,-999.0
2012,1,10,3,0.0,0.0,-999.0
2012,1,10,4,0.0,0.0,-999.0
