-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 12/31/2011 through 01/01/2021 
Location: Latitude  1.7523   Longitude 127.9942 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 37.91 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
SZA                   CERES SYN1deg Solar Zenith Angle (Degrees) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,SZA,ALLSKY_SFC_CF,ALLSKY_SFC_POUT
2012,1,1,0,0.0,0.0,-999.0,0.0,0.0
2012,1,1,1,0.0,0.0,-999.0,0.0,0.0
2012,1,1,2,0.0,0.0,-999.0,0.0,0.0
2012,1,1,3,0.0,0.0,-999.0,0.0,0.0
2012,1,1,4,0.0,0.0,-999.0,0.0,0.0
2012,1,1,5,0.0,0.0,-999.0,0.0,0.0
2012,1,1,6,6.75,7.33,88.86,0.006068609567307691,1.5778384874999998
2012,1,1,7,60.55,153.38,77.57,0.05443767545192307,14.153795617499998
2012,1,1,8,140.72,387.98,64.05,0.12651477604615385,32.893841772
2012,1,1,9,328.36,623.08,50.99,0.29521313148461537,76.755414186
2012,1,1,10,473.39,796.38,38.95,0.42560282712115377,110.65673505149998
2012,1,1,11,553.72,908.6,29.27,0.4978237762384615,129.434181822
2012,1,1,12,629.01,942.25,24.92,0.5655134968788461,147.03350918849998
2012,1,1,13,564.5,910.92,28.49,0.5075155704807691,131.95404832499997
2012,1,1,14,402.01,808.3,37.77,0.3614284047634615,93.97138523849999
2012,1,1,15,323.5,642.08,49.66,0.2908437325961538,75.619370475
2012,1,1,16,147.79,427.75,62.64,0.13287108265961536,34.546481491499996
2012,1,1,17,73.23,190.55,76.13,0.06583767090576922,17.1177944355
2012,1,1,18,9.11,13.52,88.2,0.008190375282692307,2.1294975734999997
2012,1,1,19,0.0,0.0,-999.0,0.0,0.0
2012,1,1,20,0.0,0.0,-999.0,0.0,0.0
2012,1,1,21,0.0,0.0,-999.0,0.0,0.0
2012,1,1,22,0.0,0.0,-999.0,0.0,0.0
2012,1,1,23,0.0,0.0,-999.0,0.0,0.0
2012,1,2,0,0.0,0.0,-999.0,0.0,0.0
2012,1,2,1,0.0,0.0,-999.0,0.0,0.0
2012,1,2,2,0.0,0.0,-999.0,0.0,0.0
2012,1,2,3,0.0,0.0,-999.0,0.0,0.0
2012,1,2,4,0.0,0.0,-999.0,0.0,0.0
2012,1,2,5,0.0,0.0,-999.0,0.0,0.0
2012,1,2,6,6.93,7.5,88.9,0.006230439155769231,1.6199141805
2012,1,2,7,82.94,162.58,77.66,0.07456747814999999,19.387544318999996
2012,1,2,8,251.8,400.65,64.13,0.22638161319230768,58.859219429999996
2012,1,2,9,412.12,620.15,51.06,0.37051783331538457,96.334636662
2012,1,2,10,519.23,794.8,38.99,0.4668154289826923,121.3720115355
2012,1,2,11,614.34,907.62,29.27,0.5523243854192307,143.604340209
2012,1,2,12,512.3,949.17,24.85,0.46058498982692303,119.75209735499999
2012,1,2,13,352.75,916.1,28.37,0.31714104072115384,82.4566705875
2012,1,2,14,276.89,810.3,37.64,0.24893885971730764,64.72410352649999
2012,1,2,15,257.89,643.0,49.52,0.23185684760192302,60.282780376499986
2012,1,2,16,186.05,425.9,62.52,0.16726886074038463,43.4899037925
2012,1,2,17,46.38,190.52,76.02,0.041698090626923076,10.841503563
2012,1,2,18,6.62,13.85,88.14,0.005951732642307692,1.5474504869999999
2012,1,2,19,0.0,0.0,-999.0,0.0,0.0
2012,1,2,20,0.0,0.0,-999.0,0.0,0.0
2012,1,2,21,0.0,0.0,-999.0,0.0,0.0
2012,1,2,22,0.0,0.0,-999.0,0.0,0.0
2012,1,2,23,0.0,0.0,-999.0,0.0,0.0
2012,1,3,0,0.0,0.0,-999.0,0.0,0.0
2012,1,3,1,0.0,0.0,-999.0,0.0,0.0
2012,1,3,2,0.0,0.0,-999.0,0.0,0.0
2012,1,3,3,0.0,0.0,-999.0,0.0,0.0
2012,1,3,4,0.0,0.0,-999.0,0.0,0.0
2012,1,3,5,0.0,0.0,-999.0,0.0,0.0
2012,1,3,6,8.38,7.02,88.95,0.0075340663961538466,1.958857263
2012,1,3,7,127.52,155.65,77.76,0.11464727289230768,29.808290951999997
2012,1,3,8,386.98,393.1,64.22,0.34791563412692306,90.458064873
2012,1,3,9,581.01,613.12,51.12,0.5223589399557691,135.81332438849998
2012,1,3,10,704.72,788.52,39.02,0.6335808198923076,164.731013172
2012,1,3,11,718.78,901.42,29.25,0.6462215088576923,168.017592303
2012,1,3,12,761.61,938.55,24.77,0.6847279603788461,178.02926969849997
2012,1,3,13,830.41,904.52,28.23,0.746582825301923,194.11153457849997
2012,1,3,14,599.78,797.55,37.5,0.5392341698192307,140.20088415299998
2012,1,3,15,464.37,629.08,49.39,0.4174933666326923,108.5482753245
2012,1,3,16,295.3,413.65,62.39,0.2654904304038461,69.027511905
2012,1,3,17,109.34,178.17,75.9,0.0983024844576923,25.558645958999996
2012,1,3,18,14.2,13.2,88.08,0.012766556423076923,3.3193046699999997
2012,1,3,19,0.0,0.0,-999.0,0.0,0.0
