-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 12/31/2020 through 01/01/2022 
Location: Latitude  0.8018   Longitude 127.9988 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 293.87 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M     MERRA-2 Wind Direction at 10 Meters (Degrees) 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
WD50M     MERRA-2 Wind Direction at 50 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,HR,WS10M,WD10M,WS50M,WD50M
2020,12,31,9,3.31,321.42,3.51,321.78
2020,12,31,10,3.37,320.18,3.54,320.55
2020,12,31,11,3.6,318.17,3.76,318.37
2020,12,31,12,3.96,315.56,4.13,315.84
2020,12,31,13,4.41,312.63,4.58,312.86
2020,12,31,14,4.77,312.21,4.98,312.39
2020,12,31,15,5.0,312.66,5.25,312.83
2020,12,31,16,5.08,312.13,5.39,312.3
2020,12,31,17,4.92,310.82,5.36,310.98
2020,12,31,18,4.04,311.31,5.05,311.43
2020,12,31,19,3.34,314.34,4.73,314.67
2020,12,31,20,3.06,318.83,4.55,319.17
2020,12,31,21,2.94,322.67,4.49,323.07
2020,12,31,22,2.83,325.92,4.38,326.34
2020,12,31,23,2.79,327.47,4.35,327.99
2021,1,1,0,2.76,329.51,4.31,329.95
2021,1,1,1,2.77,332.28,4.34,332.88
2021,1,1,2,2.77,335.89,4.35,336.48
2021,1,1,3,2.74,339.5,4.28,340.04
2021,1,1,4,2.76,343.21,4.25,343.66
2021,1,1,5,2.73,347.76,4.12,348.31
2021,1,1,6,2.54,352.77,3.74,353.4
2021,1,1,7,2.15,357.5,3.17,358.16
2021,1,1,8,2.55,0.53,2.72,1.48
2021,1,1,9,2.64,353.21,2.76,354.14
2021,1,1,10,2.74,345.49,2.83,346.27
2021,1,1,11,2.93,338.09,3.02,338.42
2021,1,1,12,3.06,332.32,3.16,332.49
2021,1,1,13,3.24,326.12,3.35,326.12
2021,1,1,14,3.44,320.53,3.57,320.42
2021,1,1,15,3.61,318.42,3.77,318.19
2021,1,1,16,3.76,319.39,3.96,319.33
2021,1,1,17,3.71,322.96,4.05,323.0
2021,1,1,18,3.08,327.32,4.14,327.48
2021,1,1,19,2.77,332.06,4.22,332.44
2021,1,1,20,2.66,336.45,4.16,336.76
2021,1,1,21,2.61,337.66,4.07,338.12
2021,1,1,22,2.59,335.98,4.02,336.38
2021,1,1,23,2.65,334.27,4.1,334.61
2021,1,2,0,2.76,333.22,4.29,333.62
2021,1,2,1,2.88,333.37,4.47,333.66
2021,1,2,2,2.98,334.17,4.63,334.6
2021,1,2,3,2.96,336.34,4.57,336.72
2021,1,2,4,2.82,341.11,4.3,341.57
2021,1,2,5,2.59,349.57,3.82,349.98
