-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 12/31/2020 through 01/01/2022 
Location: Latitude  0.8018   Longitude 127.9988 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 293.87 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
WS50M     MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,HR,MIN,WS10M,WS50M
2021,1,1,0,0,2.76,4.31
2021,1,1,0,10,2.7597508911137694,4.311048164439618
2021,1,1,0,20,2.760647760811947,4.314453895750556
2021,1,1,0,30,2.7624058578220954,4.319634569447437
2021,1,1,0,40,2.7647404308717793,4.3260075610448885
2021,1,1,0,50,2.7673667286885597,4.332990246057535
2021,1,1,1,0,2.77,4.34
2021,1,1,1,10,2.7723554935336625,4.34645419838691
2021,1,1,1,20,2.77414845801711,4.3517702167328896
2021,1,1,1,30,2.7750941421779043,4.355365430552562
2021,1,1,1,40,2.7749077947436094,4.356657215360555
2021,1,1,1,50,2.7733046644417874,4.3550629466714925
2021,1,1,2,0,2.77,4.35
2021,1,1,2,10,2.7649012088256564,4.341190597568298
2021,1,1,2,20,2.7586843330455415,4.329576348429
2021,1,1,2,30,2.7522175734662873,4.316403708342311
2021,1,1,2,40,2.7463691308945255,4.3029191330684435
2021,1,1,2,50,2.7420072061368863,4.290369078367603
2021,1,1,3,0,2.74,4.28
2021,1,1,3,10,2.740910041534084,4.272672300228787
2021,1,1,3,20,2.7440771727636886,4.267702167328892
2021,1,1,3,30,2.748535563956947,4.2640197360781915
2021,1,1,3,40,2.753319385381995,4.26055514125456
2021,1,1,3,50,2.7574628073069682,4.256238517635872
2021,1,1,4,0,2.76,4.25
2021,1,1,4,10,2.7601623287417123,4.240805386701744
2021,1,1,4,20,2.7579699388626704,4.227763130403583
2021,1,1,4,30,2.753640170705926,4.210017347344924
2021,1,1,4,40,2.747390364614532,4.186712153765171
2021,1,1,4,50,2.7394378609315395,4.156991665903729
2021,1,1,5,0,2.73,4.12
2021,1,1,5,10,2.718764717573141,4.0750783751864645
2021,1,1,5,20,2.7033023310448896,4.022356422167889
2021,1,1,5,30,2.6806537532193473,3.962160874542113
2021,1,1,5,40,2.6478598969006173,3.89481846590698
2021,1,1,5,50,2.601961674892801,3.820655929860329
2021,1,1,6,0,2.54,3.74
2021,1,1,6,10,2.461260282447206,3.6533255569968475
2021,1,1,6,20,2.374005922142957,3.561700069813756
2021,1,1,6,30,2.288744816416684,3.4663391544866275
2021,1,1,6,40,2.2159848625978147,3.368458427051359
2021,1,1,6,50,2.166233958015777,3.2692735035438503
2021,1,1,7,0,2.15,3.17
2021,1,1,7,10,2.1741108193047047,3.0722212486780025
2021,1,1,7,20,2.230673980383283,2.9789914467252383
2021,1,1,7,30,2.3081169811139173,2.8937325075113804
2021,1,1,7,40,2.3948673193747925,2.819866344406105
2021,1,1,7,50,2.4793524930440927,2.760814870779087
2021,1,1,8,0,2.55,2.72
2021,1,1,8,10,2.5980371810747163,2.6995024112541057
2021,1,1,8,20,2.625890748916505,2.6960378469889967
2021,1,1,8,30,2.6387872591276467,2.704980815467853
2021,1,1,8,40,2.6419532673104227,2.721705824953853
2021,1,1,8,50,2.640615329067114,2.7415873837101756
2021,1,1,9,0,2.64,2.76
2021,1,1,9,10,2.64438860454458,2.77347281000928
2021,1,1,9,20,2.654281542469218,2.783153461615073
2021,1,1,9,30,2.6692339823754963,2.7913442306172085
2021,1,1,9,40,2.6888010928649986,2.8003473928155214
2021,1,1,9,50,2.7125380425393057,2.812465224009841
2021,1,1,10,0,2.74,2.83
2021,1,1,10,10,2.7706121044506706,2.8545230153754417
2021,1,1,10,20,2.803279377502923,2.8846816398840476
2021,1,1,10,30,2.8367768113703695,2.9183922620633127
2021,1,1,10,40,2.8698793982666233,2.9535712704507304
2021,1,1,10,50,2.901362130405296,2.988135053583795
2021,1,1,11,0,2.93,3.02
2021,1,1,11,10,2.954968533208296,3.0476480914519195
2021,1,1,11,20,2.977045391963539,3.0718236825524436
2021,1,1,11,30,2.9974087721430283,3.0938367211295428
2021,1,1,11,40,3.017236869624067,3.114997155011189
2021,1,1,11,50,3.037707880283957,3.136614932025351
2021,1,1,12,0,3.06,3.16
2021,1,1,12,10,3.085023021975404,3.1861809151131784
2021,1,1,12,20,3.112613128716998,3.215060666943217
2021,1,1,12,30,3.1423381000575183,3.246260853418516
2021,1,1,12,40,3.1737657158297017,3.279403072467479
2021,1,1,12,50,3.206463755866284,3.314108922018506
2021,1,1,13,0,3.24,3.35
2021,1,1,13,10,3.273967156667868,3.386702322169441
2021,1,1,13,20,3.3080576487240267,3.4238595756006167
2021,1,1,13,30,3.3419888276268983,3.4611198651963937
2021,1,1,13,40,3.3754780448349035,3.4981312958596393
2021,1,1,13,50,3.4082426518064635,3.5345419724932188
2021,1,1,14,0,3.44,3.57
2021,1,1,14,10,3.4705435365383104,3.6042783147275776
2021,1,1,14,20,3.4999710912017092,3.6376491788024663
2021,1,1,14,30,3.5284565894348874,3.670509685795909
2021,1,1,14,40,3.5561739566825348,3.7032569292791506
2021,1,1,14,50,3.583297118389342,3.7362880028234327
2021,1,1,15,0,3.61,3.77
2021,1,1,15,10,3.636404993475183,3.804564048549879
2021,1,1,15,20,3.6624283568395017,3.8392474128932235
2021,1,1,15,30,3.687934814633549,3.8730913916199703
2021,1,1,15,40,3.7127890913979193,3.905137283320058
2021,1,1,15,50,3.736855911673205,3.9344263865834224
2021,1,1,16,0,3.76,3.96
2021,1,1,16,10,3.7813364895609554,3.981215491072909
2021,1,1,16,20,3.796982148106949,3.998694502957977
2021,1,1,16,30,3.8023041520309144,4.013374747724212
2021,1,1,16,40,3.7926696777257884,4.026193937440622
2021,1,1,16,50,3.7634459015845056,4.038089784176216
2021,1,1,17,0,3.71,4.05
2021,1,1,17,10,3.629823122355071,4.0627036167881165
2021,1,1,17,20,3.5289023099919645,4.076344945645242
2021,1,1,17,30,3.4153485772427934,4.090909617483183
2021,1,1,17,40,3.2972729384396686,4.1063832632137505
2021,1,1,17,50,3.1827864079147004,4.122751513748754
2021,1,1,18,0,3.08,4.14
2021,1,1,18,10,2.995204354352098,4.157923745478328
2021,1,1,18,20,2.927408611925195,4.1755553440906885
2021,1,1,18,30,2.8738015389979132,4.191736782343057
2021,1,1,18,40,2.831571901848873,4.205310046741413
2021,1,1,18,50,2.7979084667566956,4.215117123791735
